ア       亜
アツ     圧
イキ     域
イク     育
ウツ     鬱
カチ     葛
ガツ     月
ガッ     合
カッ     合
キク     菊
キャ     脚
ギュウ   牛
ギョク   玉
キケ     乞
ケキ     隙
ケチ     結
ゲツ     月
コチ     乞
ザツ     雑
サッ     早
ジク     軸
ジッ     十
ジュッ   十
シャン   上
ジカ     直
スク     粛
スン     寸
ゼ       是
セント   仙
ゾン     存
ダース   打
タツ     達
ヂュウ   住
チャン   荘
チャ     茶
チュ     酎
テ       稲
デイ     泥
ナッ     納
ニャク   若
ニャ     若
ニク     肉
ニチ     日
ヌ       怒
ネイ     寧
ネツ     熱
ノン     暖
バチ     罰
ハッ     法
ヒャク   百
ビツ     蜜
フラン   法
ヘツ     蔽
ボチ     伐
ホッ     法
ボッ     坊
マア     麻
ミャク   脈
メエトル         米
メツ     滅
リチ     律
リットル         立
リキ     力
リイ     力
レッキ   歴
レ       列
ワイ     賄
ワク     惑
アク     悪握
イチ     一壱
オツ     越乙
キチ     吉詰
ギャク   虐逆
ギン     吟銀
ゴク     極獄
ザ       座挫
ジツ     実日
ジュク   塾熟
ジュツ   術述
ジキ     食直
ジョク   辱濁
ズイ     随髄
セ       施世
セチ     節刹
ゼツ     絶舌
ソツ     卒率
ダク     濁諾
ダツ     奪脱
チツ     秩窒
ツウ     痛通
デキ     条溺
デ       弟泥
ニョ     女如
ハチ     八鉢
ビャク   白百
ブツ     仏物
ベツ     別蔑
ホク     剥北
ボツ     勃没
マク     幕膜
マツ     抹末
ミツ     密蜜
モツ     物没
ラツ     拉辣
リク     陸六
リャク   略暦
リョク   力緑
レキ     暦歴
ロン     乱論
ワン     湾腕
オ       悪汚和
ギョ     漁魚御
キョク   局曲極
クウ     宮供空
グン     群軍郡
シチ     七叱質
ジャ     写蛇邪
シュツ   出卒率
スウ     崇数枢
ゼイ     勢税説
チョク   勅捗直
ドク     毒独読
トツ     凸突頓
ドン     曇鈍貪
ナイ     泥奈内
ニュウ   柔乳入
ニョウ   女溺尿
バ       婆罵馬
ヘキ     壁癖璧
ホツ     発払勃
ミン     民眠明
モ       畝模茂
ユイ     遺唯由
ラ       羅裸拉
ワ       把和話
アイ     哀愛挨曖
イツ     一壱逸乙
ウン     運雲怨芸
キツ     吉喫詰乞
グウ     宮偶遇隅
クツ     屈掘窟堀
クン     勲君薫訓
コツ     滑窟乞骨
ザン     惨斬暫残
ジャク   若寂弱着
シュン   俊春瞬旬
チョ     緒著貯箸
チャク   嫡着著箸
ツ       子通妬都
ナ       奈那南納
ビン     貧敏瓶便
ブン     蚊分文聞
フツ     払沸仏蔽
ベイ     皿謎塀米
ボン     犯煩凡盆
マ       摩磨魔麻
マン     万慢満漫
メン     免綿面麺
モク     睦木黙目
ヤ       蛇冶夜野
ラク     楽絡落酪
リツ     律率立慄
ルイ     塁涙累類
アン     安暗案闇行
エツ     咽悦謁越閲
オク     億屋憶臆沃
ガク     学岳楽額顎
キャク   格却客脚隙
ゲキ     逆劇撃激隙
ゲイ     詣芸迎鯨児
ザイ     剤在材罪財
シキ     式識拭織色
チク     築畜竹蓄逐
ツイ     堆対墜椎追
テツ     哲徹撤迭鉄
デン     典伝殿田電
ド       努度土奴怒
ナン     男南軟難納
ハ       把覇波派破
バツ     伐罰抜閥末
ヒツ     泌匹必筆払
ヒン     品浜貧賓頻
ベン     便勉弁面麺
モン     文聞問紋門
ヨ       予余与誉預
リョ     侶慮旅虜呂
レツ     律列劣烈裂
エキ     易液疫益駅役
ギョウ   仰凝暁業形行
ズ       事手呪図豆頭
ゾク     財俗属賊族続
ソン     存孫尊損村遜
タ       他多太汰唾駄
トン     団屯豚頓丼貪
ネン     然年念捻燃粘
ノウ     悩濃納能脳農
ハツ     鉢発髪伐罰抜
フウ     汎夫富阜封風
ホン     反汎品奔本翻
マイ     米埋妹昧枚毎
ミ       眉美味未魅弥
ミョウ   苗妙冥名命明
ライ     瀬来頼雷塁礼
ル       流留瑠路弄籠
レン     鎌廉恋練連錬
ロク     鹿陸緑六麓録
ウ       芋右宇羽雨優有
ゲ       下夏牙解外崖戯
ケツ     傑欠決潔穴結血
ゴン     僅勤琴金権厳言
シュク   蹴叔宿淑祝縮粛
ジョ     助叙女序徐除如
テキ     嫡摘敵滴的笛適
ニ       餌児仁泥二尼弐
ニン     人仁刃任妊忍認
ビョウ   猫描病秒苗平妙
ボ       募墓慕暮母簿模
ヨク     臆抑欲沃浴翌翼
ラン     乱卵嵐欄濫藍覧
リン     倫厘林臨輪隣鈴
ロ       侶虜呂炉賂路露
グ       臼求供具愚虞工惧
タク     卓宅択拓沢濯託度
トク     匿得徳特督篤独読
バク     博漠爆縛麦暴貌幕
ビ       備尾微眉美鼻未弥
フン     分噴墳憤奮粉紛雰
ヘン     偏変片編辺返遍弁
ム       畝武謀務夢無矛霧
ヤク     疫益厄役約薬訳躍
オン     闇飲隠怨遠恩温穏音
ガ       夏我牙画芽賀雅餓瓦
カツ     割喝括活渇滑葛褐轄
サツ     冊刷察拶撮擦札殺刹
ダ       蛇唾堕妥惰打駄達那
ダン     旦団壇弾断暖段男談
バン     伴判板晩番盤蛮万満
ボク     僕墨撲朴牧睦木黙目
メイ     謎冥名命明盟迷銘鳴
リュウ   柳立流留硫粒隆竜瑠
エイ     営影映栄永泳英衛詠鋭
ガン     丸含岸玩眼岩頑顔願元
シャク   錯借尺爵酌釈昔石赤折
ス       子主守寿州須数西素窓
ゼン     斬銭前善漸然全禅繕膳
ダイ     袋代台大第題弟提奈内
チン     丁朕沈珍賃鎮陳亭枕塡
ハク     覇伯剥博拍泊白舶薄迫
フク     巾伏副復幅服福腹複覆
モウ     亡帽忙望妄毛猛盲網耗
ユ       愉油癒諭輸湧猶由遊喩
リ       利吏履梨理璃痢裏里離
エ       依衣衛画会回壊懐絵恵潰
キョ     去居巨拒拠挙虚許距据裾
ケ       化仮価家花華塊怪希気懸
コク     可殻克刻告国穀酷黒石谷
シツ     叱執失嫉室湿漆疾質実膝
ジュ     儒受呪寿授樹需就習従入
ジュン   准循旬殉準潤盾純巡遵順
ハイ     俳廃拝排敗杯背肺輩配抜
ヒョウ   拍俵標氷漂票表評兵平餅
ガイ     劾外害崖慨概涯蓋街該骸刈
ゴウ     旺格楽強郷業剛号合拷豪傲
ジュウ   拾住充十従柔汁渋獣縦重銃
ショク   嘱飾拭植殖織職色触食属続
セツ     殺切拙接摂折設窃節説雪刹
ゾウ     雑三象曽曹像増憎臓蔵贈造
テン     蚕典天展店添貼転点伝殿塡
ホ       浦畝捗反布怖保舗捕歩補哺
イン     印咽員因姻引飲淫院陰隠韻音
サ       佐唆左差査沙砂詐鎖挫再作茶
サク     作削搾昨柵策索錯冊酢数遡捉
ショ     且処初所暑庶緒署書諸狙疎野
ジン     神臣人仁刃尋甚尽腎迅陣沈妊
バイ     唄貝殻倍培媒梅買売賠陪昧枚
レイ     戻涙令例冷励礼鈴隷零霊麗齢
ギ       崖伎岐偽儀宜戯技擬欺犠疑義議
ソク     塞職数戚促側則即息捉束測足速
ト       図吐塗妬徒斗渡登賭途都度土頭
ブ       汎不夫賦侮武舞部分歩奉豊無霧
チ       治質値知地恥池痴稚置致遅丁徴緻
ドウ     登藤働動同堂導憧洞瞳童胴道銅脳
ヘイ     坪病丙併兵塀幣平弊柄並蔽閉陛餅
ロウ     滝竜糧露労廊弄朗楼浪漏老郎拉籠
ゲン     眼嫌拳験元原厳幻弦減源玄現舷言限
ゴ       期拒五互午呉娯後御悟碁語誤護后降
コン     近金建献今困墾婚恨懇昆根混痕紺魂
ソ       且塑措曽狙疎礎祖租粗素組訴阻遡想
オウ     圧凹央奥往応押旺横欧殴王翁黄区皇桜
シャ     卸左沙砂舎写射捨赦斜煮社者謝車遮予
スイ     剤出吹垂帥推水炊睡粋衰遂酔誰椎穂塁
チュウ   沖住痩中仲宙忠抽昼柱注虫衷酎鋳駐肘
サン     柵三傘参山惨散桟産算蚕賛酸斬残尽杉操
リョウ   漁養竜了僚両寮料涼猟療瞭糧良量陵領霊郎
カク     画嚇各拡格核殻獲確穫覚角較郭閣隔革客脚鶴
ク       久宮究供九句区苦駆駒庫公功勾口孔工紅貢惧
セキ     潟舎釈寂隻席惜戚斥昔析石積籍績脊責赤跡夕
ユウ     右熊又油優勇友幽悠憂有湧猶由裕誘遊郵雄融
キン     亀京僅勤均巾錦斤琴禁筋緊菌襟謹近金訓経軽今
ヒ       卑否妃彼悲扉批披比泌疲皮碑秘罷肥被費避非飛
タン     堪但丹単嘆担探旦淡炭短端綻胆誕鍛壇弾段反丼貪
エン     圧宛咽円園宴延怨援沿演炎煙猿縁艶遠鉛塩俺垣羨媛
キュウ   扱臼亀丘久休及吸宮弓急救朽求泣球究窮級糾給旧九嗅
コ       箇去居拠虚個古呼固孤己庫弧戸故枯湖股虎誇雇顧鼓裾錮
タイ     太汰体堆対耐帯待怠態戴替泰滞胎袋貸退逮隊代台大諦来
